listing_id,Space Word Count,Description Word Count,host_response_rate,host_acceptance_rate,host_is_superhost,is_location_exact,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,is_business_travel_ready,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,reviews_per_month,Aggregate_sentiment_NY_reviews.Average Sentiment
12940,178,179,60%,98%,f,t,Entire home/apt,2,1,1,1,Real Bed,110,90,66,89,9,9,10,9,8,9,f,f,moderate,f,t,0.52,0.363282681
13050,79,165,N/A,100%,f,t,Entire home/apt,5,1,2,2,Real Bed,120,69,12,95,10,9,10,10,9,9,f,f,strict_14_with_grace_period,f,f,0.1,0.294079863
13394,163,152,100%,59%,t,t,Private room,2,1,1,1,Real Bed,80,297,143,94,10,10,10,10,10,9,f,f,strict_14_with_grace_period,f,f,1.13,0.380088735
13677,176,176,77%,96%,f,t,Private room,1,1,1,1,Real Bed,150,365,69,97,10,10,10,10,10,10,f,f,strict_14_with_grace_period,f,f,0.59,0.447155154
13808,181,180,100%,98%,f,t,Private room,2,1,1,1,Real Bed,80,337,140,93,10,9,10,10,9,9,f,f,flexible,f,f,1.15,0.358863784
14290,152,171,100%,80%,f,t,Entire home/apt,2,1,2,0,Real Bed,228,157,94,94,10,9,10,9,10,9,f,f,strict_14_with_grace_period,f,f,0.73,0.418688182
14314,169,169,100%,97%,f,t,Entire home/apt,4,1,1,2,Real Bed,149,291,396,97,10,10,10,10,10,10,f,f,strict_14_with_grace_period,f,f,3.1,0.393298477
14322,172,180,N/A,100%,f,t,Entire home/apt,1,1,1,1,Real Bed,200,358,20,96,9,9,9,10,10,9,t,f,strict_14_with_grace_period,f,f,0.2,0.358273438
14377,161,161,N/A,100%,f,t,Entire home/apt,2,1,1,1,Real Bed,150,343,113,97,10,10,10,10,10,9,f,f,strict_14_with_grace_period,t,t,0.89,0.409835785
14991,188,188,N/A,0%,f,t,Private room,1,1,1,1,Real Bed,110,365,19,98,10,10,10,10,10,10,f,f,strict_14_with_grace_period,f,f,0.15,0.349800554
15220,171,174,100%,95%,f,t,Private room,1,0.5,1,1,Real Bed,69,346,324,93,9,9,10,10,10,9,f,f,strict_14_with_grace_period,t,f,2.55,0.329088073
15341,75,166,100%,100%,f,t,Entire home/apt,2,1,1,2,Real Bed,180,90,25,91,9,9,10,10,9,9,f,f,moderate,t,t,0.31,0.370705518
15385,75,182,100%,92%,t,t,Private room,1,1,1,1,Real Bed,90,236,49,97,10,10,10,10,10,9,f,f,strict_14_with_grace_period,f,f,0.4,0.45695176
15396,0,110,80%,16%,f,t,Entire home/apt,4,2,2,2,Real Bed,400,146,5,100,10,10,10,10,10,10,f,f,strict_14_with_grace_period,f,f,0.1,0.307887222
15711,181,181,92%,92%,t,f,Entire home/apt,6,1,2,4,Real Bed,200,296,82,94,10,9,9,9,10,9,f,f,strict_14_with_grace_period,f,f,0.65,0.352074291
15729,51,51,100%,33%,f,t,Private room,4,1,1,1,Real Bed,89,0,25,79,7,7,9,9,8,7,f,f,strict_14_with_grace_period,f,f,0.2,0.313322358
15962,183,191,N/A,84%,f,t,Entire home/apt,2,1,1,1,Real Bed,130,88,58,87,9,7,10,10,10,9,f,f,strict_14_with_grace_period,f,f,0.47,0.333346334
16326,166,167,90%,64%,t,t,Entire home/apt,8,2,4,4,Real Bed,200,349,149,99,10,10,10,10,10,10,f,f,strict_14_with_grace_period,f,f,1.26,0.374084043
16338,140,193,100%,13%,f,t,Private room,2,1,1,2,Real Bed,45,321,28,92,9,9,10,10,9,9,f,f,strict_14_with_grace_period,f,f,0.22,0.397821812
16421,154,169,N/A,73%,t,t,Private room,2,1,1,1,Real Bed,55,299,195,89,9,9,10,10,10,9,f,f,strict_14_with_grace_period,f,f,1.53,0.329889203
16458,138,171,N/A,N/A,f,t,Entire home/apt,4,2,2,1,Real Bed,225,0,4,100,10,10,10,10,10,10,f,f,moderate,f,f,0.11,0.586636098
16580,158,170,70%,99%,t,t,Private room,2,1,1,1,Real Bed,80,173,399,95,10,10,10,9,10,9,f,f,strict_14_with_grace_period,t,t,4.82,0.451613197
16595,59,166,0%,81%,f,t,Entire home/apt,4,1,1,3,Real Bed,220,365,168,94,10,10,10,10,10,9,f,f,strict_14_with_grace_period,f,f,1.43,0.395326036
16821,171,161,100%,59%,f,t,Private room,1,1,1,1,Real Bed,99,365,117,93,9,9,10,10,10,9,f,f,strict_14_with_grace_period,f,f,1.23,0.44319452
16974,174,179,100%,100%,t,t,Entire home/apt,8,2,4,6,Real Bed,225,239,212,97,10,10,10,10,9,9,f,f,flexible,f,t,1.67,0.297955426
17037,170,177,100%,75%,f,t,Entire home/apt,2,1,1,1,Real Bed,250,177,53,96,10,10,10,10,9,9,f,f,strict_14_with_grace_period,t,t,0.43,0.388305528
17092,42,167,N/A,100%,f,t,Private room,1,1,1,1,Real Bed,51,127,29,90,10,9,10,10,10,9,f,f,strict_14_with_grace_period,f,f,0.45,0.26724299
17693,126,189,N/A,90%,t,t,Private room,2,1,1,1,Real Bed,65,343,60,98,10,10,10,10,10,10,t,f,strict_14_with_grace_period,f,f,1.43,0.37992287
17747,164,171,N/A,100%,t,t,Private room,2,1,1,1,Real Bed,105,360,128,99,10,10,10,10,10,10,t,f,strict_14_with_grace_period,f,f,1.02,0.421600622
18127,160,157,N/A,13%,f,t,Entire home/apt,2,1,1,1,Real Bed,170,351,21,97,10,10,10,10,10,10,f,f,strict_14_with_grace_period,f,f,0.18,0.420210379
18195,171,167,100%,78%,t,t,Private room,2,1,1,1,Real Bed,90,336,22,99,10,10,10,10,10,10,f,f,strict_14_with_grace_period,t,f,0.18,0.393379271
18198,172,176,100%,78%,t,t,Private room,1,1,1,0,Real Bed,75,66,27,100,10,10,10,10,10,10,f,f,strict_14_with_grace_period,t,f,0.22,0.395964353
18590,181,175,100%,93%,t,t,Private room,2,1.5,1,1,Real Bed,95,178,152,97,10,10,10,10,10,10,f,f,moderate,t,t,1.23,0.38617242
18728,63,178,N/A,95%,t,t,Private room,3,1.5,1,1,Pull-out Sofa,150,295,184,99,10,10,10,10,10,10,t,f,strict_14_with_grace_period,f,f,1.64,0.426674981
18764,110,165,0%,100%,f,t,Private room,4,1,2,2,Real Bed,145,365,63,89,9,9,10,10,9,9,t,f,strict_14_with_grace_period,t,t,0.51,0.318552339
19159,147,160,100%,100%,t,t,Entire home/apt,3,1,2,2,Real Bed,110,312,56,94,10,10,9,10,8,9,f,f,strict_14_with_grace_period,f,f,0.46,0.360410471
19169,169,165,100%,97%,t,t,Entire home/apt,4,1,2,2,Real Bed,285,358,77,88,9,9,10,9,10,8,f,f,strict_14_with_grace_period,f,t,0.62,0.348556518
19282,172,169,N/A,100%,f,t,Entire home/apt,4,2,1,2,Real Bed,130,30,17,94,10,10,10,10,9,9,f,f,moderate,f,f,0.14,0.396388709
19601,171,170,100%,75%,f,t,Entire home/apt,8,3.5,3,3,Real Bed,2000,66,25,93,10,9,10,10,10,9,f,f,strict_14_with_grace_period,f,f,0.22,0.415054229
20300,41,150,N/A,N/A,f,t,Private room,2,1,1,1,Real Bed,50,0,2,60,10,6,6,7,10,7,f,f,moderate,f,f,0.04,0.372678571
20611,135,173,0%,100%,f,t,Private room,2,1,1,1,Real Bed,85,365,193,94,10,9,10,10,10,9,t,f,strict_14_with_grace_period,t,t,1.55,0.363061173
20717,112,173,N/A,72%,t,t,Private room,2,1.5,1,1,Real Bed,85,244,43,98,10,10,10,10,10,10,f,f,flexible,f,f,0.53,0.451217079
20724,179,181,100%,37%,f,t,Private room,1,1,1,1,Real Bed,65,365,30,86,9,8,9,8,9,9,f,f,strict_14_with_grace_period,f,f,0.31,0.347663228
20755,172,172,100%,93%,t,t,Private room,3,1,1,2,Real Bed,98,364,19,89,9,8,10,9,10,9,t,f,strict_14_with_grace_period,f,f,0.21,0.317660714
20913,177,179,N/A,N/A,f,t,Entire home/apt,2,1,1,1,Real Bed,100,0,168,81,9,7,9,9,9,8,f,f,moderate,f,f,1.42,0.300198237
21293,178,171,100%,100%,f,t,Entire home/apt,4,1,1,2,Real Bed,105,0,133,89,9,8,10,9,9,9,t,f,strict_14_with_grace_period,f,f,1.08,0.390910665
21456,158,149,N/A,11%,f,t,Entire home/apt,2,1,1,1,Real Bed,140,291,82,93,10,9,10,10,10,9,f,f,moderate,t,t,0.66,0.352172757
21644,75,173,100%,60%,f,t,Private room,1,1,1,0,Real Bed,89,365,3,100,10,10,10,9,10,9,f,f,strict_14_with_grace_period,f,f,0.15,0.396481481
21794,184,176,N/A,90%,t,t,Private room,2,1,1,1,Real Bed,85,364,36,99,10,10,10,10,10,10,f,f,strict_14_with_grace_period,f,f,0.29,0.401568216
22911,174,184,67%,100%,f,t,Entire home/apt,3,1,1,3,Real Bed,125,365,139,92,10,10,10,10,8,9,t,f,strict_14_with_grace_period,t,t,1.12,0.363573236
23135,118,118,100%,64%,f,t,Entire home/apt,3,1,2,0,Real Bed,175,364,259,94,10,10,10,10,10,10,f,f,strict_14_with_grace_period,f,f,2.11,0.384855867
23545,169,175,100%,78%,f,t,Entire home/apt,6,2,2,2,Real Bed,200,338,219,95,10,10,10,9,9,10,f,f,strict_14_with_grace_period,f,t,1.77,0.305580639
23686,161,161,100%,100%,f,t,Entire home/apt,5,2,3,3,Real Bed,500,269,49,88,9,9,9,9,10,9,f,f,strict_14_with_grace_period,f,f,0.51,0.348374689
24143,177,172,100%,100%,t,t,Private room,2,2,1,1,Real Bed,101,89,352,96,10,10,10,10,10,9,f,f,strict_14_with_grace_period,f,f,2.88,0.40391336
24285,175,182,N/A,100%,f,t,Entire home/apt,9,3,4,6,Real Bed,220,365,88,96,10,10,10,10,10,10,f,f,strict_14_with_grace_period,f,f,0.72,0.368883657
25235,174,167,67%,100%,f,t,Entire home/apt,6,1,2,4,Real Bed,125,365,170,92,10,9,10,10,9,9,f,f,strict_14_with_grace_period,t,t,1.39,0.319901632
25406,164,160,N/A,0%,f,t,Entire home/apt,4,1,1,2,Real Bed,80,0,29,92,10,9,10,10,10,9,f,f,strict_14_with_grace_period,f,f,0.34,0.40342036
25696,190,190,100%,100%,f,t,Private room,2,1,1,1,Real Bed,100,364,190,95,10,10,10,10,10,9,f,f,strict_14_with_grace_period,f,f,1.62,0.398061219
26012,92,175,100%,50%,f,t,Entire home/apt,6,2,3,3,Real Bed,200,2,20,98,10,10,10,10,9,10,f,f,strict_14_with_grace_period,f,f,0.18,0.418289922
26362,173,171,100%,95%,f,t,Private room,1,0.5,1,1,Real Bed,59,359,374,91,9,9,9,10,10,9,f,f,strict_14_with_grace_period,t,f,3.05,0.301339789
26520,174,174,100%,93%,t,t,Private room,3,1,1,2,Real Bed,125,365,29,96,9,9,10,10,10,9,f,f,strict_14_with_grace_period,f,f,0.27,0.42179768
25793,153,153,N/A,N/A,f,t,Entire home/apt,2,1,1,1,Real Bed,100,365,0,94.3,9.6,9.2,9.8,9.8,9.5,9.3,f,f,moderate,f,f,0.88,0.37
26559,179,179,N/A,N/A,f,t,Entire home/apt,1,1,1,1,Futon,140,66,12,97,10,9,10,10,10,10,f,f,strict_14_with_grace_period,f,f,0.11,0.399091755
26785,167,167,100%,100%,t,t,Entire home/apt,3,1,1,1,Real Bed,90,296,470,99,10,10,10,10,10,10,t,f,strict_14_with_grace_period,f,f,3.86,0.381125558
26933,172,168,100%,84%,f,t,Entire home/apt,6,2,2,4,Real Bed,350,359,9,93,10,9,10,10,9,10,f,f,strict_14_with_grace_period,f,f,0.07,0.430866739
26969,170,170,100%,100%,t,t,Entire home/apt,6,1.5,3,4,Real Bed,325,95,342,96,10,10,10,10,10,10,t,f,flexible,f,f,2.88,0.382818559
27006,175,173,N/A,100%,f,t,Entire home/apt,4,1.5,2,3,Real Bed,235,0,28,92,9,9,10,10,10,9,f,f,strict_14_with_grace_period,f,f,0.25,0.179432495
