listing_id,Average Sentiment
2060,0.312708333
2595,0.337269577
3831,0.351771543
5099,0.3105379
5121,0.409002122
5136,0.484073129
5178,0.289851992
5203,0.428167089
5238,0.356267522
5441,0.352927969
5552,0.419116028
5803,0.407767872
6021,0.370849881
6090,0.487612345
6848,0.386772394
6990,0.394874715
7097,0.448876895
7801,0.478240398
8490,0.374929821
9657,0.314491259
9668,0.33135614
9704,0.361451577
9783,0.34078806
10452,0.310051098
10962,0.382246913
11708,0.320823793
12048,0.423666305
12192,0.371093615
12343,0.296027282
12627,0.350260302
12937,0.375254233
12940,0.363282681
13050,0.294079863
13394,0.380088735
13677,0.447155154
13808,0.358863784
14290,0.418688182
14314,0.393298477
14322,0.358273438
14377,0.409835785
14991,0.349800554
15220,0.329088073
15341,0.370705518
15385,0.45695176
15396,0.307887222
15711,0.352074291
15729,0.313322358
15962,0.333346334
16326,0.374084043
16338,0.397821812
16421,0.329889203
16458,0.586636098
16580,0.451613197
16595,0.395326036
16821,0.44319452
16974,0.297955426
17037,0.388305528
17092,0.26724299
17693,0.37992287
17747,0.421600622
18127,0.420210379
18195,0.393379271
18198,0.395964353
18590,0.38617242
18728,0.426674981
18764,0.318552339
19159,0.360410471
19169,0.348556518
19282,0.396388709
19601,0.415054229
20300,0.372678571
20611,0.363061173
20717,0.451217079
20724,0.347663228
20755,0.317660714
20913,0.300198237
21293,0.390910665
21456,0.352172757
21644,0.396481481
21794,0.401568216
22911,0.363573236
23135,0.384855867
23545,0.305580639
23686,0.348374689
24143,0.40391336
24285,0.368883657
25235,0.319901632
25406,0.40342036
25696,0.398061219
26012,0.418289922
26362,0.301339789
26520,0.42179768
26559,0.399091755
26785,0.381125558
26933,0.430866739
26969,0.382818559
27006,0.179432495
27024,0.386937236
27385,0.420366909
27531,0.416773506
27644,0.38208576
27659,0.373599044
27759,0.207750581
27883,0.415069207
28396,0.467989899
28907,0.281958911
29013,0.35279671
29455,0.325836007
29628,0.395861361
29683,0.389211307
30031,0.382467435
31130,0.354411381
31555,0.417078653
31902,0.089935317
31994,0.395717324
32023,0.323356483
32037,0.407232512
32289,0.365750035
32329,0.329755121
32331,0.504727273
32363,0.212121212
32965,0.32933189
33009,0.405003392
33014,0.405570734
33156,0.324900035
35526,0.41286399
36133,0.396769561
36442,0.097494172
36647,0.353417857
36703,0.404544047
36934,0.394659317
37042,0.322815845
37197,0.373141528
38638,0.295819702
38663,0.345929051
39267,0.268739647
39282,0.411927241
39572,0.449337325
39586,0.342885859
39593,0.381891668
39704,0.373785111
40453,0.304772727
41513,0.198205128
42300,0.330815342
42580,0.435402744
42729,0.394448612
42882,0.382597586
43726,0.488373992
44096,0.429039232
44161,0.377495574
44212,0.375882703
44229,0.413102032
44288,0.4206699
44472,0.40990425
44506,0.36760345
45393,0.396135585
45542,0.410609588
45556,0.409625978
45910,0.294594854
45936,0.393318441
45940,0.434467035
46544,0.353650037
46911,0.391350935
47199,0.392482508
47362,0.36390138
47370,0.356346801
48719,0.407459688
50447,0.390602189
51850,0.363154676
53137,0.360373016
53196,0.391590212
